state,state_name,enrl_2025,enrl_2026,enrl_lost,enrl_drop_pct,aptc_rate_2025,aptc_rate_2026,aptc_change,avg_prm_2025,avg_prm_2026,premium_change,avg_prm_after_aptc_2025,avg_prm_after_aptc_2026,premium_after_aptc_change,bronze_pct_2025,bronze_pct_2026,bronze_shift,silver_pct_2025,silver_pct_2026,silver_shift,rural_pct,low_income_pct,new_enrollee_pct_2025,new_enrollee_pct_2026,food_insuff_pct,spend_stress_pct
AK,Alaska,28736,26079,2657,-9.25,87.6,73.8,-13.8,1105,1043,-62,223,344,121,38.9,47.7,8.8,13.1,10.0,-3.1,50.1,19.3,20.0,17.6,43.29,30.22
AL,Alabama,477838,455776,22062,-4.62,95.7,91.1,-4.6,649,743,94,65,126,61,26.3,43.6,17.3,71.1,54.5,-16.6,32.3,66.8,15.5,13.2,57.17,41.2
AR,Arkansas,166639,160307,6332,-3.8,92.0,86.9,-5.1,591,839,248,124,162,38,26.1,32.5,6.4,69.2,34.6,-34.6,39.3,32.3,22.2,18.6,48.66,36.26
AZ,Arizona,423025,357144,65881,-15.57,89.6,82.7,-6.9,524,688,164,113,229,116,36.6,56.1,19.5,58.7,40.0,-18.7,9.9,28.9,18.1,15.9,48.72,32.64
CA,California,1979504,1927371,52133,-2.63,88.5,81.9,-6.6,686,737,51,187,264,77,23.1,29.3,6.2,66.9,61.3,-5.6,,29.6,17.5,12.2,49.19,34.75
CO,Colorado,282481,277238,5243,-1.86,79.8,68.9,-10.9,570,673,103,205,318,113,36.0,38.4,2.4,32.3,29.1,-3.2,,19.6,17.4,13.5,43.89,32.85
CT,Connecticut,151151,156745,-5594,3.7,88.1,79.0,-9.1,918,1030,112,223,277,54,24.6,24.4,-0.2,61.6,64.8,3.2,,28.3,19.1,17.2,44.5,33.53
DC,District of Columbia,14930,16053,-1123,7.52,28.2,18.8,-9.4,739,815,76,610,725,115,30.6,32.8,2.2,21.8,20.9,-0.9,,1.4,23.0,21.9,28.94,23.11
DE,Delaware,52931,44663,8268,-15.62,90.7,80.7,-10.0,749,901,152,217,320,103,30.4,46.8,16.4,30.6,23.8,-6.8,24.3,27.5,18.4,15.1,45.56,27.89
FL,Florida,4735415,4538772,196643,-4.15,97.2,94.6,-2.6,641,806,165,67,106,39,29.7,37.0,7.3,65.7,49.1,-16.6,3.1,65.0,15.3,16.0,50.04,36.98
GA,Georgia,1510852,1324295,186557,-12.35,92.6,89.1,-3.5,620,777,157,74,164,90,24.4,38.7,14.3,69.5,56.7,-12.8,,59.7,15.1,14.5,53.96,37.33
HI,Hawaii,24606,23380,1226,-4.98,83.1,71.4,-11.7,729,778,49,252,372,120,29.0,39.9,10.9,28.4,24.2,-4.2,34.2,26.5,20.9,17.7,45.24,34.26
IA,Iowa,136833,123304,13529,-9.89,88.2,76.1,-12.1,555,615,60,141,235,94,36.6,47.9,11.3,34.1,22.8,-11.3,48.8,24.6,17.8,14.3,42.64,29.1
ID,Idaho,117373,120426,-3053,2.6,85.8,76.5,-9.3,482,509,27,129,202,73,49.4,58.6,9.2,37.9,30.6,-7.3,,27.1,17.4,13.3,55.11,37.96
IL,Illinois,465985,448568,17417,-3.74,89.7,85.2,-4.5,674,816,142,190,230,40,35.0,37.3,2.3,58.2,31.6,-26.6,13.1,30.1,23.8,16.7,47.04,31.42
IN,Indiana,359240,300049,59191,-16.48,89.8,83.4,-6.4,503,623,120,120,222,102,32.6,35.9,3.3,64.4,61.6,-2.8,24.5,30.0,17.6,14.3,51.37,36.62
KS,Kansas,200046,192811,7235,-3.62,93.7,88.7,-5.0,649,779,130,106,160,54,34.1,47.1,13.0,56.1,45.4,-10.7,37.2,54.0,17.3,13.7,46.03,31.75
KY,Kentucky,97374,89028,8346,-8.57,85.8,80.2,-5.6,601,797,196,180,288,108,31.0,39.7,8.7,58.8,52.6,-6.2,,32.9,24.1,17.5,52.7,42.77
LA,Louisiana,292994,296648,-3654,1.25,96.1,91.2,-4.9,642,759,117,72,144,72,43.1,56.9,13.8,51.4,37.8,-13.6,19.6,30.5,16.8,10.6,61.33,39.58
MA,Massachusetts,389191,403624,-14433,3.71,83.3,72.4,-10.9,535,594,59,198,325,127,7.4,8.4,1.0,89.8,88.8,-1.0,,25.3,16.1,14.1,41.03,31.14
MD,Maryland,247243,255612,-8369,3.38,76.4,67.4,-9.0,492,542,50,184,284,100,23.7,26.4,2.7,28.2,30.0,1.8,,25.0,21.9,18.7,45.93,31.81
ME,Maine,64678,58523,6155,-9.52,84.7,74.5,-10.2,758,913,155,245,340,95,46.4,57.8,11.4,43.4,33.3,-10.1,,20.5,17.4,14.7,40.53,29.72
MI,Michigan,531083,497064,34019,-6.41,91.1,81.1,-10.0,540,657,117,131,222,91,40.6,48.1,7.5,52.7,46.8,-5.9,20.1,27.6,18.4,13.0,44.6,31.61
MN,Minnesota,151512,139251,12261,-8.09,61.0,49.5,-11.5,529,639,110,307,437,130,47.7,55.9,8.2,33.0,29.2,-3.8,,0.0,27.9,17.5,40.19,25.9
MO,Missouri,417000,365734,51266,-12.29,94.1,86.5,-7.6,621,724,103,91,173,82,35.9,51.2,15.3,55.4,37.8,-17.6,33.2,32.6,15.6,12.7,48.89,31.08
MS,Mississippi,338159,313392,24767,-7.32,97.9,95.4,-2.5,605,816,211,41,131,90,18.9,36.2,17.3,80.0,63.2,-16.8,63.1,75.8,14.2,19.9,59.91,39.15
MT,Montana,77221,73255,3966,-5.14,89.0,77.7,-11.3,634,729,95,151,230,79,57.9,64.6,6.7,33.2,24.0,-9.2,73.1,23.3,19.9,14.3,39.46,29.38
NC,North Carolina,975110,761457,213653,-21.91,94.3,87.1,-7.2,637,755,118,97,180,83,45.4,63.9,18.5,47.3,30.5,-16.8,25.2,36.0,12.9,16.5,46.83,34.78
ND,North Dakota,42901,41014,1887,-4.4,90.7,78.5,-12.2,585,591,6,145,229,84,40.5,52.3,11.8,24.6,20.8,-3.8,62.0,21.7,17.1,12.8,37.89,32.66
NE,Nebraska,136684,128492,8192,-5.99,95.1,86.5,-8.6,687,800,113,114,217,103,53.8,65.9,12.1,35.1,27.3,-7.8,47.3,23.8,17.1,11.5,44.8,31.17
NH,New Hampshire,70337,66024,4313,-6.13,70.7,55.7,-15.0,469,553,84,230,342,112,35.6,45.6,10.0,41.9,37.2,-4.7,42.2,20.9,17.8,17.8,36.55,32.39
NJ,New Jersey,513217,509192,4025,-0.78,90.1,82.2,-7.9,673,734,61,179,277,98,15.2,24.5,9.3,83.3,74.1,-9.2,,32.0,22.0,15.3,45.57,31.65
NM,New Mexico,70373,83103,-12730,18.09,85.3,82.3,-3.0,657,842,185,152,299,147,3.4,3.1,-0.3,28.0,36.3,8.3,,28.5,15.9,15.5,49.84,34.72
NV,Nevada,110687,104286,6401,-5.78,86.8,82.4,-4.4,555,659,104,152,234,82,33.0,42.4,9.4,62.4,53.6,-8.8,,32.3,24.3,20.1,52.32,33.38
NY,New York,221534,210704,10830,-4.89,63.4,42.6,-20.8,791,812,21,532,636,104,49.6,49.5,-0.1,33.9,35.8,1.9,,0.5,17.1,15.1,43.74,31.57
OH,Ohio,583443,469616,113827,-19.51,90.8,82.6,-8.2,580,665,85,126,233,107,43.4,60.1,16.7,51.5,35.8,-15.7,20.7,29.5,17.0,15.6,47.43,31.47
OK,Oklahoma,307989,261887,46102,-14.97,96.3,90.7,-5.6,616,727,111,78,161,83,42.2,58.1,15.9,44.6,33.7,-10.9,43.3,35.3,13.9,12.9,49.57,41.19
OR,Oregon,139688,118372,21316,-15.26,79.9,60.0,-19.9,696,741,45,272,426,154,48.4,55.7,7.3,35.6,30.7,-4.9,22.1,10.6,17.0,14.2,43.17,32.33
PA,Pennsylvania,496661,501459,-4798,0.97,86.5,79.8,-6.7,655,742,87,187,251,64,22.9,30.2,7.3,33.2,26.2,-7.0,,31.7,18.2,16.2,43.23,32.21
RI,Rhode Island,42117,43446,-1329,3.16,87.8,82.2,-5.6,568,649,81,155,246,91,21.0,30.8,9.8,39.1,35.1,-4.0,,34.8,17.6,22.6,44.56,30.77
SC,South Carolina,631948,587567,44381,-7.02,95.3,89.2,-6.1,572,655,83,73,139,66,51.4,64.2,12.8,44.2,33.0,-11.2,21.2,57.3,16.2,14.4,47.44,32.2
SD,South Dakota,54721,50951,3770,-6.89,94.5,83.3,-11.2,691,684,-7,125,211,86,51.9,59.3,7.4,35.4,27.5,-7.9,64.2,23.7,15.9,13.1,46.19,35.62
TN,Tennessee,642867,569310,73557,-11.44,95.0,90.3,-4.7,634,838,204,72,141,69,35.9,56.1,20.2,59.4,37.6,-21.8,28.8,61.0,16.4,16.3,52.69,38.68
TX,Texas,3966226,4172233,-206007,5.19,95.3,92.9,-2.4,573,709,136,57,89,32,17.8,31.1,13.3,47.0,27.5,-19.5,13.8,65.1,17.9,18.3,53.15,40.35
UT,Utah,421890,387336,34554,-8.19,95.8,90.4,-5.4,514,571,57,70,120,50,37.6,51.9,14.3,58.0,45.7,-12.3,14.3,29.2,16.0,11.9,46.75,36.1
VA,Virginia,388856,370086,18770,-4.83,86.2,77.9,-8.3,489,575,86,135,215,80,38.0,42.3,4.3,34.4,31.2,-3.2,,32.6,17.8,15.8,45.53,32.79
VT,Vermont,32862,30344,2518,-7.66,92.7,76.9,-15.8,1067,1090,23,220,364,144,31.5,35.0,3.5,25.8,11.4,-14.4,,23.9,11.1,8.2,37.97,29.77
WA,Washington,308227,290109,18118,-5.88,72.8,64.5,-8.3,629,738,109,288,343,55,33.4,30.0,-3.4,47.9,17.2,-30.7,,24.7,18.9,17.8,38.8,26.61
WI,Wisconsin,313579,291336,22243,-7.09,88.9,78.3,-10.6,687,784,97,167,250,83,49.7,59.3,9.6,40.7,33.2,-7.5,35.0,34.3,17.0,13.6,38.93,27.2
WV,West Virginia,67113,55879,11234,-16.74,97.1,88.9,-8.2,1170,1314,144,101,208,107,39.3,38.4,-0.9,39.9,28.4,-11.5,43.9,30.8,18.4,12.4,52.68,35.97
WY,Wyoming,46643,41545,5098,-10.93,95.2,87.1,-8.1,1006,1217,211,134,235,101,22.5,35.7,13.2,24.3,22.2,-2.1,75.6,30.7,20.0,13.2,55.62,42.6
